ticker,total_rows,revenue_nulls,cost_of_revenue_nulls,gross_profit_nulls,operating_expenses_nulls,operating_income_nulls,net_income_nulls,eps_basic_nulls,eps_diluted_nulls,rd_nulls,sga_nulls,total_assets_nulls,total_liabilities_nulls,total_equity_nulls,cash_nulls,total_debt_nulls,op_cashflow_nulls,capex_nulls,fcf_nulls,pe_ratio_nulls,dte_nulls,gross_margin_nulls,op_margin_nulls,net_margin_nulls,roe_nulls,shares_nulls
AAL,54,13,54,54,4,4,4,5,5,54,54,0,0,0,54,17,10,10,10,54,17,54,13,13,4,0
AAPL,55,18,11,5,11,11,5,5,5,11,11,0,0,0,0,32,14,11,14,55,32,18,21,18,5,0
ABBV,55,39,20,29,11,11,0,0,0,11,11,1,1,1,1,48,15,11,15,55,48,49,39,39,1,55
ABT,55,15,19,35,11,11,6,6,6,22,11,1,1,1,1,43,11,11,11,55,44,43,18,15,6,11
ADSK,57,16,12,5,12,5,5,5,5,12,12,0,1,1,1,19,12,16,16,57,19,16,16,16,5,45
AMD,54,13,13,4,45,4,4,4,4,4,4,0,0,0,0,47,10,10,10,54,47,13,13,13,4,0
AMGN,54,31,18,30,10,10,4,4,4,10,10,0,0,0,0,0,10,10,10,54,0,53,31,31,4,0
AMZN,87,46,43,87,87,37,4,37,37,87,43,33,33,33,33,33,10,71,71,87,33,87,46,46,37,33
BAC,54,10,54,54,54,54,10,10,10,54,54,0,0,0,26,0,17,54,54,54,0,54,54,10,10,0
BIIB,54,4,18,24,10,25,4,4,4,54,10,0,0,10,30,0,10,10,10,54,10,24,25,4,12,43
BMY,72,31,38,42,28,72,22,22,22,28,28,0,18,18,0,23,28,28,28,72,35,51,72,31,22,28
COST,56,13,13,52,56,5,5,5,5,56,5,0,0,0,0,19,22,11,22,56,19,52,13,13,5,5
CVS,58,49,21,40,31,9,9,9,9,58,58,2,13,0,4,46,14,14,14,58,46,53,49,49,9,4
DD,56,29,12,41,56,56,8,15,15,17,17,9,21,10,7,18,32,21,32,56,18,56,56,29,15,47
DE,63,8,45,37,15,23,8,8,8,15,15,4,5,5,3,23,23,15,23,63,25,37,23,8,10,60
DIS,42,5,42,42,9,5,5,5,5,42,9,5,5,5,4,34,29,9,29,42,34,42,5,5,10,32
DOMO,45,10,11,10,10,10,10,24,24,10,10,6,6,3,9,9,10,10,10,45,9,10,10,10,12,26
DUK,55,54,51,55,11,3,7,6,6,55,55,1,1,0,3,19,11,11,11,55,19,55,54,54,7,1
DXCM,54,14,20,5,5,10,5,15,15,10,10,0,0,26,0,51,10,10,10,54,54,14,17,14,31,0
F,54,17,10,54,10,23,31,10,10,43,10,0,0,0,0,51,19,10,19,54,51,54,23,39,31,10
GILD,54,20,18,30,10,10,4,4,4,33,10,0,0,0,28,23,10,15,15,54,23,45,20,20,4,0
GOOGL,54,20,10,54,10,10,10,13,13,10,10,2,3,2,0,43,10,10,10,54,43,54,20,20,12,3
IBM,54,10,42,10,54,54,13,10,10,10,10,0,0,0,0,31,11,10,11,54,31,10,54,13,13,43
INTC,54,19,10,10,10,10,10,10,10,10,10,0,0,0,18,29,23,10,23,54,29,19,19,19,10,5
JNJ,54,12,20,3,54,53,3,3,3,49,10,0,0,43,0,48,10,10,10,54,54,12,54,12,44,10
KO,54,19,19,10,54,10,10,10,10,54,10,0,0,0,0,8,12,10,12,54,8,19,19,19,10,10
LLY,54,5,14,54,34,54,8,5,5,20,10,0,0,0,1,46,10,41,41,54,46,54,54,8,8,10
MA,69,50,69,69,25,20,69,20,20,69,25,15,15,15,14,69,25,25,25,69,69,69,50,69,69,10
MDT,56,17,11,30,55,11,5,5,5,11,11,0,0,0,0,1,11,11,11,56,1,42,20,17,5,10
META,57,20,13,57,13,13,13,13,13,13,13,0,0,3,3,47,13,13,13,57,47,57,20,20,13,10
MMM,54,18,2,54,10,10,2,2,2,44,10,0,0,0,43,22,14,10,14,54,22,54,22,18,2,19
MRK,54,18,18,54,54,54,10,10,10,10,10,0,0,0,0,54,13,39,40,54,54,54,54,18,10,10
MRNA,47,28,21,47,28,7,13,22,22,13,13,9,10,4,5,45,13,13,13,47,46,47,28,28,13,10
MSFT,55,12,19,5,46,5,5,5,5,11,11,0,0,0,0,0,17,11,17,55,0,12,12,12,5,0
NVDA,56,38,39,5,11,11,5,5,5,11,11,0,4,0,0,2,11,39,39,56,4,38,41,38,5,44
ORCL,57,21,57,44,12,12,12,12,12,12,12,1,1,1,1,56,20,12,20,57,57,51,21,21,12,0
PEP,54,16,10,8,54,8,8,8,8,43,10,0,0,0,0,43,10,10,10,54,43,16,16,16,8,10
PFE,54,29,18,54,54,54,10,10,10,10,10,0,0,0,0,45,10,10,10,54,45,54,54,29,10,10
PG,55,17,20,55,55,5,5,11,5,44,11,0,0,0,31,54,11,11,11,55,54,55,17,17,5,11
PYPL,54,37,54,54,10,10,4,4,4,38,10,1,1,1,0,20,10,10,10,54,22,54,40,37,5,2
REGN,54,13,52,54,7,10,4,4,4,10,10,0,0,0,0,25,10,10,10,54,27,54,17,13,4,54
SMR,32,12,12,12,31,9,9,11,11,12,12,5,5,2,6,32,9,13,13,32,32,12,12,12,9,30
T,54,52,52,54,54,2,5,5,5,54,10,0,53,0,0,42,15,51,51,54,42,54,52,52,5,10
TMO,54,14,41,34,10,10,47,5,5,10,10,0,0,0,0,20,10,10,10,54,20,42,17,47,47,10
V,55,26,55,55,11,11,11,55,55,55,11,0,0,55,0,28,11,11,11,55,55,55,26,26,55,55
VTRS,41,9,15,15,9,15,34,13,15,19,15,10,10,30,10,39,9,15,15,41,39,15,15,41,39,36
VZ,54,5,53,54,10,5,5,5,5,54,10,0,0,0,0,54,10,35,35,54,54,54,5,5,5,10
